name,network,longitude,latitude,intensity_mmi,pga,pgv,distance_km
"Anand, Gujarat (1 response)",G,72.95,22.56,5.8,5.8,null,267.841
"Ahmedabad, Gujarat (1 response)",G,72.58,23.03,7.0,12.0,null,216.205
"Porbandar, Gujarat (1 response)",G,69.6,21.65,6.2,7.6,null,196.892
"Ahmedabad, Gujarat (1 response)",G,72.58,23.03,6.9,11.0,null,216.205
"Jamjodhpur, Gujarat (1 response)",G,70.33,21.93,6.4,8.8,null,159.071
"Kandla, Gujarat (1 response)",G,70.22,23.03,8.3,35.0,null,44.507
"Junagarh, Gujarat (1 response)",G,70.45,21.52,6.2,7.5,null,204.382
"Amreli, Gujarat (1 response)",G,71.22,21.61,5.3,3.9,null,219.544
"Anjar, Gujarat (1 response)",G,70.02,23.12,9.3,65.0,null,35.373
"Dwarka, Gujarat (1 response)",G,68.97,22.23,6.3,8.5,null,175.211
"Khambhaliya, Gujarat (1 response)",G,69.65,22.2,5.9,7.2,null,139.777
"Naliya, Gujarat (1 response)",G,68.85,23.25,8.4,29.0,null,129.325
"Cambay, Gujarat (1 response)",G,72.65,22.32,8.0,20.0,null,252.547
"Niruna, Gujarat (1 response)",G,69.28,23.74,8.4,32.0,null,89.458
Nawabshah (Intensity VI),INTENSITY,68.39,26.24,6.0,6.1986,7.9793,354.191
Naliya (Intensity VIII),INTENSITY,69.27,23.34,8.0,25.8305,40.6335,85.325
Jabalpur (Intensity III),INTENSITY,79.94,23.13,3.0,null,null,957.747
Pali (Intensity V),INTENSITY,73.25,25.46,5.0,1.8095,3.7319,346.926
Mundra (Intensity VIII),INTENSITY,69.72,22.87,8.0,26.8175,41.1829,72.964
Mandal (Intensity VII),INTENSITY,71.92,23.3,7.0,12.9356,18.149,145.931
Tonk (Intensity V),INTENSITY,75.67,26.18,5.0,1.8095,3.7319,595.693
Jaipur (Intensity V),INTENSITY,75.79,26.89,5.0,1.8095,3.7319,645.718
Loria (Intensity VIII),INTENSITY,69.68,23.42,8.0,30.4941,43.122,42.681
Limbdi (Intensity VIII),INTENSITY,71.08,22.57,8.0,23.7991,39.459,120.096
Sehore (Intensity IV),INTENSITY,77.07,23.18,4.0,0.3452,0.8443,666.08
Agra (Intensity IV),INTENSITY,78.02,27.18,4.0,0.3452,0.8443,853.747
Bibar (Intensity VIII),INTENSITY,69.47,23.49,8.0,27.6524,41.6375,64.201
Veraval (Intensity VII),INTENSITY,70.37,20.92,7.0,11.1791,17.2248,268.322
Mahuda (Intensity VII),INTENSITY,72.95,22.85,7.0,11.2923,17.2871,257.274
Budhormora (Intensity X),INTENSITY,70.16,23.32,9.0,69.5173,101.2361,14.357
Chandigarh (Intensity II),INTENSITY,76.54,30.42,null,null,null,963.369
Chirala (Intensity II),INTENSITY,80.35,15.83,2.0,null,null,1324.052
Kankawati,INTENSITY,69.08218,23.18719,5.0,3.7267,4.0749,107.668
Bhachau (Intensity X),INTENSITY,70.3,23.29,9.0,62.4197,97.4059,22.504
Kharoi (Intensity X),INTENSITY,70.35,23.46,9.0,75.8097,104.4268,8.368
Guntur (Intensity III),INTENSITY,80.47,16.29,3.0,null,null,1301.341
Bhiwani (Intensity IV),INTENSITY,76.15,28.81,4.0,0.3452,0.8443,806.95
Dwarka (Intensity VII),INTENSITY,69.97,22.24,7.0,13.3759,18.3678,126.906
Thara (Intensity VIII),INTENSITY,71.82,23.97,8.0,22.8939,38.9148,141.194
Tando Allah Yar (Intensity VII),INTENSITY,68.72,25.46,7.0,11.2324,17.2541,263.056
Peshawar (Intensity II),INTENSITY,71.86,33.28,2.0,null,null,1079.299
Lahore (Intensity IV),INTENSITY,74.4,31.54,4.0,0.3452,0.8443,959.187
Bagodra,INTENSITY,72.17836,22.6684,6.0,6.8942,8.289,192.469
Shivpuri (Intensity IV),INTENSITY,77.61,25.47,4.0,0.3452,0.8443,747.047
Surendranagar (Intensity VIII),INTENSITY,71.63,22.73,8.0,22.8287,38.8751,142.884
Balamba,INTENSITY,70.42585,22.72142,7.0,14.906,19.0943,80.754
Salem (Intensity I),INTENSITY,78.12,11.39,1.0,null,null,1550.969
Vadodara (Intensity VI),INTENSITY,73.22,22.28,6.0,6.1986,7.9793,305.519
Maliya (Intensity VIII),INTENSITY,70.76,23.09,8.0,28.2478,41.9564,58.739
Amod (Intensity VII),INTENSITY,72.87,22.0,7.0,10.9699,17.1087,290.338
Wankaner (Intensity VII),INTENSITY,70.91,22.6,7.0,13.8306,18.589,110.38
Baniari (Intensity IX),INTENSITY,70.15,23.17,9.0,58.7102,95.2921,29.06
Mankuwa (Intensity VIII),INTENSITY,69.55,23.2,8.0,27.86,41.7492,62.227
Bhankoda,INTENSITY,72.13924,23.24367,6.0,7.1179,8.3844,168.451
Manfara (Intensity X),INTENSITY,70.35,23.49,9.0,75.8097,104.4268,5.537
Hamjipura (Intensity VII),INTENSITY,72.25,23.12,7.0,12.2714,17.8096,181.84
Mathal (Intensity VII),INTENSITY,69.18,23.4,7.0,14.3798,18.8501,93.823
Bhuj (Intensity IX),INTENSITY,69.66,23.25,9.0,51.631,91.0065,49.681
Dasada (Intensity VII),INTENSITY,71.84,23.34,7.0,13.1237,18.2431,137.398
Patan,INTENSITY,72.08571,23.81899,5.0,2.7766,3.9315,163.445
Ambliara (Intensity IX),INTENSITY,70.49,23.24,9.0,56.3845,93.9226,34.4
Limbdi Bridge (Intensity VII),INTENSITY,69.33,22.14,7.0,12.6468,18.0028,160.354
Disa (Intensity VII),INTENSITY,72.2,24.3,7.0,12.1392,17.7406,190.248
Bhavnagar (Intensity VII),INTENSITY,72.15,21.78,7.0,11.3534,17.3205,251.552
Matanumadh (Intensity VII),INTENSITY,68.95,23.54,7.0,13.6228,18.4885,117.579
Sarkhej (Intensity VII),INTENSITY,72.91,22.98,7.0,11.3727,17.331,249.775
Piplod (Intensity VI),INTENSITY,73.92,22.82,6.0,6.1986,7.9793,353.438
Kandla (Intensity IX),INTENSITY,70.21,23.02,9.0,52.7861,91.7305,45.299
Peelyaj (Intensity VII),INTENSITY,72.38,23.25,7.0,12.1117,17.7262,192.057
Sriganganagar (Intensity V),INTENSITY,73.85,29.85,5.0,1.8095,3.7319,767.858
Umedpur (Intensity IX),INTENSITY,69.91,23.41,9.0,64.5966,98.6091,19.504
Bulandshahr (Intensity IV),INTENSITY,77.73,28.46,4.0,0.3452,0.8443,901.291
Bhilwara (Intensity V),INTENSITY,74.4,25.21,5.0,1.8095,3.7319,434.338
Muli (Intensity VII),INTENSITY,71.46,22.55,7.0,12.9902,18.1764,143.388
Bitta (Intensity VIII),INTENSITY,69.03,23.26,8.0,24.252,39.7263,111.01
Unnao (Intensity III),INTENSITY,75.4,26.8,3.0,null,null,608.008
Dolia (Intensity VII),INTENSITY,71.47,22.56,7.0,12.9928,18.1776,143.271
Kumbakonam (Intensity IV),INTENSITY,79.18,10.96,null,null,null,1650.442
Unchahar (Intensity II),INTENSITY,81.63,25.86,2.0,null,null,1147.12
Sirohi (Intensity V),INTENSITY,72.54,24.53,5.0,2.1675,3.8148,232.223
Tharad (Intensity VIII),INTENSITY,71.63,24.45,8.0,22.6014,38.736,148.979
Vijayawada (Intensity III),INTENSITY,80.64,16.52,3.0,null,null,1299.782
Bakhasar (Intensity VII),INTENSITY,71.09,24.43,7.0,13.8461,18.5965,109.866
Vanthali (Intensity VII),INTENSITY,70.32,21.47,7.0,11.8785,17.6033,208.289
Beru (Intensity VIII),INTENSITY,69.26,23.3,8.0,25.7057,40.5631,87.067
Wandhia (Intensity IX),INTENSITY,70.59,23.24,9.0,54.9987,93.0894,38.165
Meghpar (Intensity VIII),INTENSITY,69.55,23.1,8.0,27.3021,41.4479,67.709
Godriyada (Intensity VIII),INTENSITY,70.12,23.43,8.0,43.1744,48.8404,2.467
Vithalpur,INTENSITY,72.17208,23.32201,6.0,7.0973,8.3757,170.503
Tada (Intensity II),INTENSITY,80.03,13.59,2.0,null,null,1473.842
Manjal (Intensity VIII),INTENSITY,69.43,23.23,8.0,26.8783,41.2164,72.277
Mothala (Intensity VIII),INTENSITY,69.13,23.21,8.0,24.7328,40.0065,102.278
Silvassa (Intensity V),INTENSITY,73.02,20.27,5.0,1.8095,3.7319,437.096
Alwar (Intensity IV),INTENSITY,76.69,27.67,4.0,0.3452,0.8443,767.678
Petlad,INTENSITY,72.84278,22.45732,5.0,1.9877,3.7748,262.573
Aligarh (Intensity IV),INTENSITY,78.09,27.88,4.0,0.3452,0.8443,896.516
Jasdan,INTENSITY,71.20065,22.01328,5.0,2.6073,3.9016,178.693
Ratnal (Intensity IX),INTENSITY,69.9,23.19,9.0,56.4492,93.9612,34.236
Kotai (Intensity IX),INTENSITY,69.78,23.37,9.0,56.7592,94.1457,33.462
Ghanshympur,INTENSITY,71.2063,22.92394,8.0,24.9651,40.1407,98.365
